crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-edger-glm-lrt	0.1.2	B	True	e54fd78695c9883bc679bc5b1d18ffd9e4fc094a	clean	4	1289	0	0		True	True	True	True	edger	edger|limma	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-glm-qlf	0.1.2	B	True	c2f26cf9d9dc755961a8f7ea529ff28ca65262d8	clean	7	1715	0	0		True	True	True	True	edger	edger|limma	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-glm-treat	0.1.2	B	True	0206008c7f792ca207b9f2bb58542019af8f22b4	clean	4	1100	0	0		True	True	True	True	edger	edger|limma	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-goodturing	0.1.2	B	True	b1313f13c9f22780e4becb10fc4b27b9a27bafb6	clean	3	617	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-predfc	0.1.2	B	True	86f1ede753ca140127912c130e14c9a2a673a485	clean	3	734	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-robust-disp	0.1.0	B	False	-	not-git	4	1156	0	0		True	True	False	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-rpkm	0.1.2	B	True	c43d59ac9f25bcad9f3c83958b702bdfa29053cf	clean	3	768	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-effective-size	0.1.1	B	True	a51d092d90d421ddc9bdf61d5ffd13d5742180a6	clean	2	390	0	0		True	True	True	True	scipy|networkx	scipy|networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-ehh-decay	0.1.1	B	True	8ae6abac6b8eff6f6ffbefb3f70e0f2645c2c227	dirty	6	1105	0	0		True	True	True	True	scikit-allel	scikit-allel	population-genetics	rsomics-popgen	product	high	merge-into:rsomics-popgen	-
rsomics-eigenvector-centrality	0.1.2	B	True	913ccdf2332e58d7c03e0b4baa83813af85b3e32	clean	2	281	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-energy-distance	0.1.0	B	True	9bc0b848be201fd2866780391958855df3974408	clean	6	517	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-entropy	0.1.1	B	True	0701665c854e8741098461bd3f07bbaea29b8ebd	clean	5	453	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-epps-singleton	0.1.2	B	True	a60c7f239cfd5258ddebdf53b8e40228c2b03fee	clean	8	888	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-equalize-hist	0.1.2	B	True	5d58ae1d703971cf457f2cf8eda9b1aa0aceca90	clean	2	559	0	0		True	True	False	True	scikit-image	scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-f-oneway	0.1.0	B	True	707d4d8febd58fd68d5bc001f3d31ac4479d1ab3	clean	6	770	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-faith-pd	0.1.2	B	True	45641adf130ae241733aee06bbd44d8ea48a9759	clean	3	484	0	0		True	True	True	True	scikit-bio	scikit-bio|biopython	ecology	rsomics-ecology	product	high	merge-into:rsomics-ecology	-
rsomics-fasta-amplicon	0.1.4	B	True	6497126935997a0fe626ccb815b36d3865288cf2	clean	6	1130	0	0		True	True	True	True	seqkit	seqkit	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-fasta-digest	0.1.2	B	True	7ab3c0750a8c15b9e55aca3b151270a013494437	clean	3	209	0	0		True	True	True	True			sequence-utilities	rsomics-seq	product	medium	merge-into:rsomics-seq	-
